Time,Signal,Label
62.824,-0.05372713,AORTICSCLEROCIS
62.828,-0.053249428,AORTICSCLEROCIS
62.832,0.002800897,AORTICSCLEROCIS
62.836,0.020794325,AORTICSCLEROCIS
62.84,-0.025224266,AORTICSCLEROCIS
62.844,-0.033504427,AORTICSCLEROCIS
62.848,-0.041306887,AORTICSCLEROCIS
62.852,-0.066625074,AORTICSCLEROCIS
62.856,0.004552469,AORTICSCLEROCIS
62.86,0.064742875,AORTICSCLEROCIS
62.864,0.094997311,AORTICSCLEROCIS
62.868,0.043564769,AORTICSCLEROCIS
62.872,-0.010415515,AORTICSCLEROCIS
62.876,0.030985293,AORTICSCLEROCIS
62.88,-0.028408943,AORTICSCLEROCIS
62.884,-0.018536443,AORTICSCLEROCIS
62.888,0.136716587,AORTICSCLEROCIS
62.892,0.067290617,AORTICSCLEROCIS
62.896,-0.068695114,AORTICSCLEROCIS
62.9,0.0136288,AORTICSCLEROCIS
62.904,0.121748602,AORTICSCLEROCIS
62.908,0.067927552,AORTICSCLEROCIS
62.912,-0.243374676,AORTICSCLEROCIS
62.916,-0.435569965,AORTICSCLEROCIS
62.92,-0.159139956,AORTICSCLEROCIS
62.924,0.404229499,AORTICSCLEROCIS
62.928,0.094838077,AORTICSCLEROCIS
62.932,-0.258820362,AORTICSCLEROCIS
62.936,0.076685415,AORTICSCLEROCIS
62.94,0.035284607,AORTICSCLEROCIS
62.944,-0.095127937,AORTICSCLEROCIS
62.948,0.150251466,AORTICSCLEROCIS
62.952,0.180187435,AORTICSCLEROCIS
62.956,-0.008345475,AORTICSCLEROCIS
62.96,-0.034141363,AORTICSCLEROCIS
62.964,0.005507873,AORTICSCLEROCIS
62.968,-0.053090194,AORTICSCLEROCIS
62.972,-0.137165681,AORTICSCLEROCIS
62.976,-0.00977858,AORTICSCLEROCIS
62.98,0.162671709,AORTICSCLEROCIS
62.984,0.143563643,AORTICSCLEROCIS
62.988,0.043087067,AORTICSCLEROCIS
62.992,-0.033504427,AORTICSCLEROCIS
62.996,-0.064873501,AORTICSCLEROCIS
63.0,-0.067262009,AORTICSCLEROCIS
63.004,-0.020924951,AORTICSCLEROCIS
63.008,0.060284326,AORTICSCLEROCIS
63.012,0.054074205,AORTICSCLEROCIS
63.016,-0.022198822,AORTICSCLEROCIS
63.02,-0.067739711,AORTICSCLEROCIS
63.024,-0.055160234,AORTICSCLEROCIS
63.028,-0.105000438,AORTICSCLEROCIS
63.032,-0.169330924,AORTICSCLEROCIS
63.036,-0.132388664,AORTICSCLEROCIS
63.04,0.009170252,AORTICSCLEROCIS
63.044,0.163467878,AORTICSCLEROCIS
63.048,0.157735458,AORTICSCLEROCIS
63.052,0.028437551,AORTICSCLEROCIS
63.056,-0.015670233,AORTICSCLEROCIS
63.06,0.006463276,AORTICSCLEROCIS
63.064,0.036240011,AORTICSCLEROCIS
63.068,0.079392391,AORTICSCLEROCIS
63.072,0.092927271,AORTICSCLEROCIS
63.076,0.067927552,AORTICSCLEROCIS
63.08,0.040220858,AORTICSCLEROCIS
63.084,0.090220295,AORTICSCLEROCIS
63.088,0.118086223,AORTICSCLEROCIS
63.092,0.087035617,AORTICSCLEROCIS
63.096,0.000730856,AORTICSCLEROCIS
63.1,-0.17984036,AORTICSCLEROCIS
63.104,-0.306272058,AORTICSCLEROCIS
63.108,-0.196241449,AORTICSCLEROCIS
63.112,-0.044810032,AORTICSCLEROCIS
63.116,-0.034619064,AORTICSCLEROCIS
63.12,-0.065032735,AORTICSCLEROCIS
63.124,-0.048950113,AORTICSCLEROCIS
63.128,-0.033504427,AORTICSCLEROCIS
63.132,-0.061848057,AORTICSCLEROCIS
63.136,-0.053567896,AORTICSCLEROCIS
63.14,0.024456704,AORTICSCLEROCIS
63.144,0.094997311,AORTICSCLEROCIS
63.148,0.07318227,AORTICSCLEROCIS
63.152,0.087354085,AORTICSCLEROCIS
63.156,0.178913564,AORTICSCLEROCIS
63.16,0.163627112,AORTICSCLEROCIS
63.164,0.009807187,AORTICSCLEROCIS
63.168,-0.149585923,AORTICSCLEROCIS
63.172,-0.176655682,AORTICSCLEROCIS
63.176,-0.031115919,AORTICSCLEROCIS
63.18,0.1015259,AORTICSCLEROCIS
63.184,0.12779949,AORTICSCLEROCIS
63.188,0.121430135,AORTICSCLEROCIS
63.192,0.115856949,AORTICSCLEROCIS
63.196,0.057099648,AORTICSCLEROCIS
63.2,0.000253155,AORTICSCLEROCIS
63.204,-0.004364628,AORTICSCLEROCIS
63.208,0.016654244,AORTICSCLEROCIS
63.212,-0.005160797,AORTICSCLEROCIS
63.216,0.001208558,AORTICSCLEROCIS
63.22,-0.024268862,AORTICSCLEROCIS
63.224,-0.009300878,AORTICSCLEROCIS
63.228,0.007896381,AORTICSCLEROCIS
63.232,-0.022676524,AORTICSCLEROCIS
63.236,-0.098631083,AORTICSCLEROCIS
63.24,-0.159458423,AORTICSCLEROCIS
63.244,-0.167738585,AORTICSCLEROCIS
63.248,-0.108662817,AORTICSCLEROCIS
63.252,0.011717994,AORTICSCLEROCIS
63.256,0.059806624,AORTICSCLEROCIS
63.26,-0.015670233,AORTICSCLEROCIS
